"uuid","index_key","reference_key","insert_date","update_date","update_by","change_log","state_abbreviation","state"
"BCD9962F-75F0-4116-A3DA-DC75BB359962","17","ST-17","2025-07-22 15:18:02.293","2025-07-22 15:18:02.293","","Created on 2025-07-22 15:18:02","AR","Arkansas"
"8EF02363-5DD9-41C6-8C34-D390BA4145ED","2","ST-02","2025-06-24 09:32:44.957","2025-06-24 09:32:44.957","","Created on 2025-06-24 09:32:44","AZ","Arizona"
"83E06344-6712-4F4D-A55F-32564EFBC414","3","ST-03","2025-06-24 09:32:44.957","2025-06-24 09:32:44.957","","Created on 2025-06-24 09:32:44","CA","California"
"C4A7E232-99C0-413F-8D9A-DB5723FD2C64","4","ST-04","2025-06-24 09:32:44.957","2025-06-24 09:32:44.957","","Created on 2025-06-24 09:32:44","ID","Idaho"
"2CE91D05-E0FD-45D2-9C7E-8F632769668A","5","ST-05","2025-06-24 09:32:44.957","2025-06-24 09:32:44.957","","Created on 2025-06-24 09:32:44","KS","Kansas"
"CFE0D7AB-8C7C-41DF-BE88-B061381B6293","6","ST-06","2025-06-24 09:32:44.957","2025-06-24 09:32:44.957","","Created on 2025-06-24 09:32:44","MI","Michigan"
"998CA1C0-CB16-46AA-AB0F-51CBA0749CCE","7","ST-07","2025-06-24 09:32:44.957","2025-06-24 09:32:44.957","","Created on 2025-06-24 09:32:44","MN","Minnesota"
"F73C1EEC-A3F2-4403-A9D8-2BCFF06FF3ED","8","ST-08","2025-06-24 09:32:44.957","2025-06-24 09:32:44.957","","Created on 2025-06-24 09:32:44","ND","North Dakota"
"1F122D61-702E-48E6-9790-BB63C62332C6","9","ST-09","2025-06-24 09:32:44.957","2025-06-24 09:32:44.957","","Created on 2025-06-24 09:32:44","NE","Nebraska"
"1FB33F01-033C-419D-869B-9906D878C7D8","18","ST-18","2025-07-22 19:42:46.197","2025-07-22 19:42:46.197","","Created on 2025-07-22 19:42:46","CO","Colorado"
"EA58E220-AC7D-49A5-84FF-506D30118756","11","ST-11","2025-06-24 09:32:44.957","2025-06-24 09:32:44.957","","Created on 2025-06-24 09:32:44","NM","New Mexico"
"F26CC2DF-87AA-4DD3-9E69-C50540D829CF","12","ST-12","2025-06-24 09:32:44.957","2025-06-24 09:32:44.957","","Created on 2025-06-24 09:32:44","OK","Oklahoma"
"58C6DD76-9773-453C-964E-2C691321188A","13","ST-13","2025-06-24 09:32:44.957","2025-06-24 09:32:44.957","","Created on 2025-06-24 09:32:44","OR","Oregon"
"E328D559-BCC9-422A-9785-FD1522BBB837","14","ST-14","2025-06-24 09:32:44.957","2025-06-24 09:32:44.957","","Created on 2025-06-24 09:32:44","SD","South Dakota"
"116120B2-D512-4CB1-8A3B-39D269153CB4","15","ST-15","2025-06-24 09:32:44.957","2025-06-24 09:32:44.957","","Created on 2025-06-24 09:32:44","WI","Wisconsin"
"42E84EA1-1D6F-43C5-BF42-ED25B5C80EA5","16","ST-16","2025-06-24 09:32:44.957","2025-06-24 09:32:44.957","","Created on 2025-06-24 09:32:44","WY","Wyoming"
"4821D959-545E-4718-84FE-6E128EC905F7","19","ST-19","2025-07-22 19:44:18.823","2025-07-22 19:44:18.823","","Created on 2025-07-22 19:44:18","IA","Iowa"
"929FBCBE-D87C-4D3B-8DDF-D0067BCDC9D0","20","ST-20","2025-07-22 19:46:34.230","2025-07-22 19:46:34.230","","Created on 2025-07-22 19:46:34","IN","Indiana"
"87DA3D2F-A67F-4294-893C-D5B9C91D7BD3","21","ST-21","2025-07-22 19:47:46.150","2025-07-22 19:47:46.150","","Created on 2025-07-22 19:47:46","MT","Montana"
"65989688-556E-4E60-913C-2359B2DFBE19","22","ST-22","2025-07-22 19:48:59.587","2025-07-22 19:48:59.587","","Created on 2025-07-22 19:48:59","WA","Washington"