"uuid","index_key","reference_key","insert_date","update_date","update_by","change_log","casino_id","asset_id","theme_id","zone","bank","location","asset_number","denom","os_version","rtp","hold","prog_media","paytable","date_instl","golive","lastconver","rmvl_date","prog_type","prog_level","reset_1","reset_2","reset_3","reset_4","reset_5","reset_6","reset_7","reset_8","prog_1","prog_2","prog_3","prog_4","prog_5","prog_6","prog_7","prog_8","top_award","reels","no_lines","bet_line","maxcoinbet","betconfig","butt_panel","top_boxtyp","boot_bios","print_id","print_soft","bill_validator_id","billvalsft","mon_type","toppertype","active"
"46545A0D-A135-4CCB-9983-DFA2C98405E8","16121","SM-000016121","2025-09-26 11:49:09.250","2025-09-26 11:49:09.710","Paul Collins","Updated on 2025-09-26 11:49:10 Log key: (LT-000099388)","CT-00130","A-04040","TH-00546","3","3","2","15164","0.01","ZEARU2-GEN-0045","94.00","6.00","X17006-XXRP-ZA-0104","Variation 02","2021-10-11","","","","Linked","4","8888.00","888.00","50.00","20.00","","","","","0.50","0.50","0.50","1.50","","","","","PROG","5","243 ways","88/176/264/528/880","880","1/2/3/6/10","10 Dynamic","","GAL 10B2","No Reference","GURUSA210","No Reference","V2.78-51","","Video","Inactive"
"FF1DF710-D3B8-47EF-8AFD-0AE3F79D8B28","16122","SM-000016122","2025-09-26 11:49:09.250","2025-09-26 11:49:09.710","Paul Collins","Updated on 2025-09-26 11:49:10 Log key: (LT-000092442)","CT-00130","A-04040","TH-00548","3","3","1","15473","0.01","ZEARU2-GEN-0064","","","X21P56-XXSP-ZA-0103","VAR 04","","","2023-07-25","","LINKED","2","","","","","","","","","","","","","","","","","PROG","5","HYPER SYMBOLS","50/100/150/250/500","500","1/2/3/5/10","","","GAL 1A55","No Reference","","No Reference","","","","Inactive"
"D5B1274E-902C-4CAE-97ED-624C7D1C3A2C","16135","SM-000016135","2025-09-26 11:49:09.250","2025-09-26 11:49:09.710","Paul Collins","Updated on 2025-09-26 11:49:10 Log key: (LT-000095215)","CT-00116","A-06872","TH-00511","7","12","2","104100","0.01","ZEARU2-GEN-0045","92.14","7.86","X17P24-XXLP-ZA-0101","Variation 04","2022-04-19","","","","Linked","4","1000.00","100.00","30.00","10.00","","","","","0.10","0.20","0.40","0.80","","","","","PROG","5","30","50/100/150/250/500","500","1/2/3/5/10","10 Dynamic","","GAL 12AF","No Reference","GURUSAG14","No Reference","V2.82-40","","Video","Inactive"
"078D885F-E60E-4692-A4A2-60627CD0024C","16136","SM-000016136","2025-09-26 11:49:09.250","2025-09-26 11:49:09.710","Paul Collins","Updated on 2025-09-26 11:49:10 Log key: (LT-000095157)","CT-00013","A-00858","TH-00511","3","19","6","100841","0.01","ZEARU2-GEN-0045","92.14","7.86","X17P24-XXLP-ZA-0101","VAR 04","2024-11-14","","","","LINKED","4","","","","","","","","","","","","","","","","","PROG","5","30","50/100/150/250/500","500","1/2/3/5/10","","","GAL 12AF","No Reference","","No Reference","","","","Inactive"
"99ED7D52-17B0-416F-9BDB-71279BAE3D48","16137","SM-000016137","2025-09-26 11:49:09.250","2025-09-26 11:49:09.710","Paul Collins","Updated on 2025-09-26 11:49:10 Log key: (LT-000095726)","CT-00087","A-07980","TH-00368","1","108","2","11082","0.01","V1206212123","","","(8046) R121994","2410","2023-08-29","","","","LINKED","4","","","","","","","","","","","","","","","","","PROG","5","243 ways","88/176/352/528/880","880","1/2/4/6/10","","","nan","No Reference","","No Reference","","","","Inactive"
"F583D000-D708-4D8A-BF83-85EE08866906","16138","SM-000016138","2025-09-26 11:49:09.250","2025-09-26 11:49:09.710","Paul Collins","Updated on 2025-09-26 11:49:10 Log key: (LT-000096406)","CT-00087","A-07980","TH-00364","1","108","2","11082","0.01","V0106232209","92.06","7.94","(9378) R96332","3105","","","2023-11-07","","LINKED","2","","","","","","","","","","","","","","","","","PROG","5","80","80/160/240/400/800","800","1/2/3/5/10","","","nan","No Reference","","No Reference","","","","Active"
"B5AE84BA-DC61-40BE-86D4-F3C5114CB4ED","16139","SM-000016139","2025-09-26 11:49:09.250","2025-09-26 11:49:09.710","Paul Collins","Updated on 2025-09-26 11:49:10 Log key: (LT-000100063)","CT-00139","A-03366","TH-00360","5","13","4","60908","0.01","V0930211407","90.09","9.91","(9123) r53097","2944","2022-06-13","","","","Stand Alone","4","10000.00","500.00","25.00","10.00","","","","","0.10","0.30","0.40","1.20","","","","","PROG","5","1024 ways","75/150/225/375/750","750","1/2/3/5/10","5 Static","","","PR-02","E001CAD0102","BV-01","V2.84-44","","Video","Inactive"
"365CAC42-A67C-436E-A854-871BF0586FDA","16140","SM-000016140","2025-09-26 11:49:09.250","2025-09-26 11:49:09.710","Paul Collins","Updated on 2025-09-26 11:49:10 Log key: (LT-000096440)","CT-00032","A-08045","TH-00516","","","","9131","0.01","nan","","","nan","nan","2024-05-01","","","","nan","","","","","","","","","","","","","","","","","","","","","nan","","nan","","","nan","No Reference","","No Reference","","","","Active"
"966B762A-15F0-438B-8C11-70A020F7FCAB","16141","SM-000016141","2025-09-26 11:49:09.250","2025-09-26 11:49:09.710","Paul Collins","Updated on 2025-09-26 11:49:10 Log key: (LT-000095705)","CT-00027","A-01627","TH-00513","1","1","3","6495","0.01","nan","90.35","9.65","nan","nan","2024-05-01","","","","nan","","","","","","","","","","","","","","","","","","","","","nan","","nan","","","nan","No Reference","","No Reference","","","","Inactive"
"439F1167-6B4A-4159-90C0-7526E6CB6741","16142","SM-000016142","2025-09-26 11:49:09.250","2025-09-26 11:49:09.710","Paul Collins","Updated on 2025-09-26 11:49:10 Log key: (LT-000095857)","CT-00027","A-01628","TH-00518","1","1","4","6498","0.01","nan","90.42","9.58","nan","nan","2024-05-01","","","","nan","","","","","","","","","","","","","","","","","","","","","nan","","nan","","","nan","No Reference","","No Reference","","","","Inactive"
"50D08AB2-2F89-451B-9D4D-0CE78B1D011B","16143","SM-000016143","2025-09-26 11:49:09.250","2025-09-26 11:49:09.710","Paul Collins","Updated on 2025-09-26 11:49:10 Log key: (LT-000092510)","CT-00139","A-03367","TH-00360","4","14","3","60900","0.01","V0930211407","90.09","9.91","(9123) r53097","2944","2022-06-13","","","","Stand Alone","4","10000.00","500.00","25.00","10.00","","","","","0.10","0.30","0.40","1.20","","","","","PROG","5","1024 ways","75/150/225/375/750","750","1/2/3/5/10","5 Static","","","PR-02","E001CAD0102","BV-01","V2.84-44","","Video","Inactive"
"D2CEBDEF-7B07-4DD8-9196-AE461EFB9B14","16144","SM-000016144","2025-09-26 11:49:09.250","2025-09-26 11:49:09.710","Paul Collins","Updated on 2025-09-26 11:49:10 Log key: (LT-000097721)","CT-00139","A-03367","TH-00364","S5","14","3","61094","0.01","V0919232026","93.03","6.97","(9378) R96332","3105","","","2024-04-25","","LINKED","2","","","","","","","","","","","","","","","","","PROG","5","40","80/160/240/400/800","800","1/2/3/5/10","","","nan","No Reference","","No Reference","","","","Inactive"
"2517AFC5-FF29-48FD-9CD6-632A2FE8F8B4","16145","SM-000016145","2025-09-26 11:49:09.250","2025-09-26 11:49:09.710","Paul Collins","Updated on 2025-09-26 11:49:10 Log key: (LT-000095252)","CT-00139","A-03368","TH-00360","4","14","4","60901","0.01","V0930211407","90.09","9.91","(9123) r53097","2944","2022-06-13","","","","Stand Alone","4","10000.00","500.00","25.00","10.00","","","","","0.10","0.30","0.40","1.20","","","","","PROG","5","1024 ways","75/150/225/375/750","750","1/2/3/5/10","5 Static","","","PR-02","E001CAD0102","BV-01","V2.84-44","","Video","Inactive"
"A5400F9C-0B1C-4859-88A3-C19139B19E4E","16146","SM-000016146","2025-09-26 11:49:09.250","2025-09-26 11:49:09.710","Paul Collins","Updated on 2025-09-26 11:49:10 Log key: (LT-000098381)","CT-00139","A-03368","TH-00365","S5","14","4","61095","0.01","V0919232026","93.03","6.97","(9379) R102810","3105","","","2024-04-25","","LINKED","2","","","","","","","","","","","","","","","","","PROG","5","40","80/160/240/400/800","800","1/2/3/5/10","","","nan","No Reference","","No Reference","","","","Inactive"
"3193B631-BEAB-4F64-AE5A-9CECD8B8ABC9","16147","SM-000016147","2025-09-26 11:49:09.250","2025-09-26 11:49:09.710","Paul Collins","Updated on 2025-09-26 11:49:10 Log key: (LT-000097151)","CT-00139","A-03369","TH-00360","S3","13","6","60924","0.01","V0930211407","90.09","9.91","(9123) r53097","(9123) r53097","2022-06-15","","","","Linked","4","10000.00","800.00","25.00","10.00","","","","","0.45","0.35","0.75","1.20","","","","","PROG","5","1024 ways","75/150/225/375/750","750","1/2/3/5/10","5 Static","","","PR-02","E001CAD0102","BV-01","V2.84-44","","Video","Inactive"
"2998B6BB-FDA5-41E9-8090-5834BE1706D1","16148","SM-000016148","2025-09-26 11:49:09.250","2025-09-26 11:49:09.710","Paul Collins","Updated on 2025-09-26 11:49:10 Log key: (LT-000094880)","CT-00139","A-03369","TH-00364","S3","13","6","61106","0.01","V0919232026","93.03","6.97","(9378) R96332","3105","","","2024-04-25","","LINKED","2","","","","","","","","","","","","","","","","","PROG","5","40","80/160/240/400/800","800","1/2/3/5/10","","","nan","No Reference","","No Reference","","","","Inactive"
"22DEECF1-E574-4306-9954-87C72AA93468","16162","SM-000016162","2025-09-26 11:49:09.250","2025-09-26 11:49:09.710","Paul Collins","Updated on 2025-09-26 11:49:10 Log key: (LT-000096466)","CT-00130","A-04021","TH-00493","3","3","9","15171","0.01","ZEARU2-GEN-0053","92.07","7.93","X15014-XXLN-ZA-0100","V04","2021-10-11","","","","","","","","","","","","","","","","","","","","","","30000","5","30","30/60/90/150/300","300","1/2/3/5/10","10 Dynamic","","GAL 0DE4","No Reference","GURUSA210","No Reference","V2.78-51","","Video","Inactive"
"869E1254-9FDC-45B5-905E-436E8427683C","16163","SM-000016163","2025-09-26 11:49:09.250","2025-09-26 11:49:09.710","Paul Collins","Updated on 2025-09-26 11:49:10 Log key: (LT-000094206)","CT-00049","A-03115","TH-00506","B","209","12","1155","0.01","ZEARU2-GEN-0045","94.09","5.91","X18P18-XXLP-ZA-0104","V06","2021-01-27","","","","Stand Alone","4","10000.00","500.00","50.00","20.00","","","","","","","","","","","","","","","","","","","Dynamic","","","No Reference","","BV-01","","","PLEX","Inactive"
"E3D1A785-6DC6-406A-A562-95A6CD9527C8","16164","SM-000016164","2025-09-26 11:49:09.250","2025-09-26 11:49:09.710","Paul Collins","Updated on 2025-09-26 11:49:10 Log key: (LT-000096926)","CT-00049","A-03115","TH-00505","B","209","12","23061","0.01","ZEARU2-GEN-0053","92.00","8.00","","VAR 04","","","2023-05-04","","SAP","4","","","","","","","","","","","","","","","","","N","5","30","50/100/150/250/500","$5.00","1/2/3/5/10","","","","No Reference","","No Reference","","","","Active"
"70008C40-47D6-4C90-BA36-C489B795E03E","16165","SM-000016165","2025-09-26 11:49:09.250","2025-09-26 11:49:09.710","Paul Collins","Updated on 2025-09-26 11:49:10 Log key: (LT-000098479)","CT-00032","A-08046","TH-00517","","","","9132","0.01","nan","","","nan","nan","2024-05-01","","","","nan","","","","","","","","","","","","","","","","","","","","","nan","","nan","","","nan","No Reference","","No Reference","","","","Active"
"4C8D31EB-0468-496C-895C-8DCB1CAEC62F","16166","SM-000016166","2025-09-26 11:49:09.250","2025-09-26 11:49:09.710","Paul Collins","Updated on 2025-09-26 11:49:10 Log key: (LT-000096662)","CT-00049","A-03114","TH-00507","B","209","11","1154","0.01","ZEARU2-GEN-0045","94.20","5.80","X18005-XXLP-ZA-0104","V06","2021-01-27","","","","Stand Alone","4","10000.00","500.00","50.00","20.00","","","","","","","","","","","","","","","","","","","Dynamic","","","No Reference","","No Reference","","","PLEX","Inactive"
"F5F2972E-308F-46AD-82A1-F29D9FFEA9F6","16167","SM-000016167","2025-09-26 11:49:09.250","2025-09-26 11:49:09.710","Paul Collins","Updated on 2025-09-26 11:49:10 Log key: (LT-000100031)","CT-00049","A-03114","TH-00504","B","209","11","23060","0.01","ZEARU2-GEN-0053","92.00","8.00","","VAR 04","","","2023-05-04","","SAP","4","","","","","","","","","","","","","","","","","N","5","30","50/100/150/250/500","$5.00","1/2/3/5/10","","","","No Reference","","No Reference","","","","Active"
"30EA66A4-A430-4E1B-8D6A-3778C9C88906","16168","SM-000016168","2025-09-26 11:49:09.250","2025-09-26 11:49:09.710","Paul Collins","Updated on 2025-09-26 11:49:10 Log key: (LT-000093818)","CT-00119","A-04066","TH-00511","1","7","2","102545","0.01","ZEARU2-GEN-0045","92.14","7.86","X17P24-XXLP-ZA-0101","Variation 04","2021-05-18","","","","Linked","","","","","","","","","","","","","","","","","","","","","","","","","","","No Reference","GURUSAG14","BV-09","520080407","","Video","Inactive"
"C6CD16CD-FF61-4D01-BB3F-BEDF4A7BE892","16169","SM-000016169","2025-09-26 11:49:09.250","2025-09-26 11:49:09.710","Paul Collins","Updated on 2025-09-26 11:49:10 Log key: (LT-000098274)","CT-00074","A-08170","TH-00547","7","3","3","4805","0.01","ZEARU2-GEN-0045","94.02","5.98","X17005-XXRP-ZA-0104","VAR 02 Prog 33","2022-10-17","2022-10-18","","","Linked","4","5000.00","500.00","25.00","10.00","","","","","0.50","0.50","0.75","1.50","","","","","PROG","5","243 Ways","88/176/264/528/880","880","1/2/3/6/10","10 Dynamic","","GAL 10AD","No Reference","GURUSA210","BV-01","V2.53-38","","Video","Inactive"
"1DA9DD02-20EC-4A0B-BDB6-A17C16B9CDDE","16170","SM-000016170","2025-09-26 11:49:09.250","2025-09-26 11:49:09.710","Paul Collins","Updated on 2025-09-26 11:49:10 Log key: (LT-000097305)","CT-00074","A-04002","TH-00542","7","3","5","4807","0.01","ZEARU2-GEN-0045","89.30","10.70","X17045-XXRP-ZA-0107","VAR 03 Prog 45","2022-10-17","2022-10-18","","","Linked","4","2000.00","500.00","40.00","20.00","","","","","0.10","0.15","0.50","1.00","","","","","PROG","5","243 Ways","50/100/150/250/500","500","1/2/3/5/10","10 Dynamic","","GAL 1357","No Reference","GURUSA210","BV-01","V2.53-38","","Video","Inactive"
"CDE4D44F-AAF9-4F1A-AB64-538B32295390","16171","SM-000016171","2025-09-26 11:49:09.250","2025-09-26 11:49:09.710","Paul Collins","Updated on 2025-09-26 11:49:10 Log key: (LT-000094723)","CT-00074","A-04006","TH-00540","7","3","4","4806","0.01","ZEARU2-GEN-0045","94.00","6.00","X17007-XXRP-ZA-0104","VAR 02 Prog 33","2022-10-17","2022-10-18","","","Linked","4","5000.00","500.00","25.00","10.00","","","","","0.50","0.50","0.75","1.50","","","","","PROG","5","243 Ways","88/176/264/528/880","880","1/2/3/6/10","10 Dynamic","","GAL 10B7","No Reference","GURUSA210","BV-01","V2.53-38","","Video","Inactive"
"4250AC60-2D72-41F2-90B1-F9EFE3B56474","16172","SM-000016172","2025-09-26 11:49:09.250","2025-09-26 11:49:09.710","Paul Collins","Updated on 2025-09-26 11:49:10 Log key: (LT-000100294)","CT-00111","A-04057","TH-00534","6","3","1","105066","0.01","","91.08","8.92","","","2020-11-05","","","","","","","","","","","","","","","","","","","","","","","","","","","","10 static","","","No Reference","GURUSA210","No Reference","V2.53-38","","Special","Inactive"
"15A24194-9E7D-4B74-923E-65F61CA70CDB","16173","SM-000016173","2025-09-26 11:49:09.250","2025-09-26 11:49:09.710","Paul Collins","Updated on 2025-09-26 11:49:10 Log key: (LT-000095357)","CT-00111","A-04058","TH-00535","6","3","2","105067","0.01","","91.08","8.92","","","2020-11-05","","","","","","","","","","","","","","","","","","","","","","","","","","","","10 static","","","No Reference","GURUSA210","No Reference","V2.53-38","","Special","Inactive"
"EA0D91D7-94FF-4BBF-985E-8A5A7DC56572","16174","SM-000016174","2025-09-26 11:49:09.250","2025-09-26 11:49:09.710","Paul Collins","Updated on 2025-09-26 11:49:10 Log key: (LT-000096554)","CT-00141","A-04075","TH-00529","5","G","1","5945","0.01","ZEARU2-GEN-0053","90.04","9.96","X19P39-XXLP-ZA-0100","Var 02 Prog 01","","","2022-09-13","","Linked","4","2500.00","500.00","50.00","25.00","","","","","0.10","0.25","0.40","0.85","","","","","PROG","5","99","100/200/300/400/500","500","1/2/3/4/5","10 Dynamic","","GAL 16A0","No Reference","S04880","No Reference","V2.78-39","","Video","Inactive"
"4F7BB0ED-613C-497D-AC56-ACCC0F0F9D38","16175","SM-000016175","2025-09-26 11:49:09.250","2025-09-26 11:49:09.710","Paul Collins","Updated on 2025-09-26 11:49:10 Log key: (LT-000097658)","CT-00141","A-04076","TH-00529","5","G","2","5946","0.01","ZEARU2-GEN-0053","90.04","9.96","X19P39-XXLP-ZA-0100","Var 02 Prog 01","","","2022-09-13","","Linked","4","2500.00","500.00","50.00","25.00","","","","","0.10","0.25","0.40","0.85","","","","","PROG","5","99","100/200/300/400/500","500","1/2/3/4/5","10 Dynamic","","GAL 16A0","No Reference","S04880","No Reference","V2.78-39","","Video","Inactive"
"9349A1E6-E173-4D26-A1A4-E5758EE9BA91","16188","SM-000016188","2025-09-26 11:49:09.250","2025-09-26 11:49:09.710","Paul Collins","Updated on 2025-09-26 11:49:10 Log key: (LT-000099583)","CT-00092","A-06499","TH-00504","3","71","7","900099","0.01","ZEARU2-GEN-0053","90.72","9.28","X16047-XXLP-ZA-0101","Var 04","","","2023-10-18","","SAP","4","","","","","","","","","","","","","","","","","PROG","5","30","100/200/300/400/500","500","1/2/3/4/5","","","GAL 106F","No Reference","","No Reference","","","","Active"
"B66FC4B5-B448-426F-BC6B-2651EF7D0F3B","16189","SM-000016189","2025-09-26 11:49:09.250","2025-09-26 11:49:09.710","Paul Collins","Updated on 2025-09-26 11:49:10 Log key: (LT-000093292)","CT-00027","A-01630","TH-00534","1","1","7","6500","0.01","nan","90.38","9.62","nan","nan","2024-05-01","","","","nan","","","","","","","","","","","","","","","","","","","","","nan","","nan","","","nan","No Reference","","No Reference","","","","Active"
"A4E25E02-18EA-4375-B670-CF0BAAF23972","16190","SM-000016190","2025-09-26 11:49:09.250","2025-09-26 11:49:09.710","Paul Collins","Updated on 2025-09-26 11:49:10 Log key: (LT-000098815)","CT-00027","A-01631","TH-00535","1","1","8","6499","0.01","nan","90.38","9.62","nan","nan","2024-05-01","","","","nan","","","","","","","","","","","","","","","","","","","","","nan","","nan","","","nan","No Reference","","No Reference","","","","Active"
"D352D1F3-F765-4980-A3C5-3ADE26E3AAA0","16191","SM-000016191","2025-09-26 11:49:09.250","2025-09-26 11:49:09.710","Paul Collins","Updated on 2025-09-26 11:49:10 Log key: (LT-000093926)","CT-00141","A-04081","TH-00525","5","G","7","5951","0.01","ZEARU2-GEN-0053","90.14","9.86","X19P73-XXRP-ZA-0103","Var 02 Prog 01","","","2022-09-13","","Stand Alone","5","2000.00","800.00","200.00","25.00","10.00","","","","0.10","0.20","0.30","0.40","0.50","","","","PROG","5","1024","88/176/264/440/880","880","1/2/3/5/10","10 Dynamic","","GAL 1867","No Reference","S04880","No Reference","V2.78-39","","Video","Inactive"
"F31CEEFD-8CDE-480D-99BF-BDF30930F818","16192","SM-000016192","2025-09-26 11:49:09.250","2025-09-26 11:49:09.710","Paul Collins","Updated on 2025-09-26 11:49:10 Log key: (LT-000098248)","CT-00141","A-04082","TH-00525","5","G","8","5952","0.01","ZEARU2-GEN-0053","90.14","9.86","X19P73-XXRP-ZA-0103","Var 02 Prog 01","","","2022-09-13","","Stand Alone","5","2000.00","800.00","200.00","25.00","10.00","","","","0.10","0.20","0.30","0.40","0.50","","","","PROG","5","1024","88/176/264/440/880","880","1/2/3/5/10","10 Dynamic","","GAL 1867","No Reference","S04880","No Reference","V2.78-39","","Video","Inactive"