"uuid","index_key","reference_key","insert_date","update_date","update_by","change_log","bill_validator_name"
"9A905118-8B1D-44E4-99F5-68DC5AED52AA","1","BV-01","2025-06-25 15:26:48","2025-06-25 15:27:04.927","Paul Collins","Updated on 2025-06-25 15:27:04 Log key: (LT-000006093)","Ivizion"
"CD9E5B1F-9FB6-4C58-9044-30EE2E220567","2","BV-02","2025-06-25 15:27:09","2025-06-25 15:27:15.157","Paul Collins","Updated on 2025-06-25 15:27:15 Log key: (LT-000006095)","MEI Advanced/Easitrax"
"9573FF8F-7831-46BA-B4E2-EAA06CD4F227","3","BV-03","2025-06-25 15:27:19","2025-06-25 15:27:22.560","Paul Collins","Updated on 2025-06-25 15:27:22 Log key: (LT-000006097)","MEI Advanced"
"CB5599C4-D008-41B2-B0DC-3F8404016040","4","BV-04","2025-06-25 15:27:25","2025-06-25 15:27:28.810","Paul Collins","Updated on 2025-06-25 15:27:28 Log key: (LT-000006099)","MEI Cash Flow"
"9EF7127D-0A46-4BCD-AA85-71D0648F222F","7","BV-07","2025-07-23 14:20:27","2025-07-23 14:21:28.870","Paul Collins","Updated on 2025-07-23 14:21:28 Log key: (LT-000058628)","MEI SC Advanced w/ EZTrax"
"F4225193-064A-4B85-ADAA-D1AA0BB73A6D","8","BV-08","2025-07-23 14:23:41","2025-07-23 14:30:26.963","Paul Collins","Updated on 2025-07-23 14:30:26 Log key: (LT-000058638)","iVizion 2"
"9890539B-F3A3-4E71-BBE6-58535D66EA60","9","BV-09","2025-07-23 14:24:48","2025-07-23 14:24:51.393","Paul Collins","Updated on 2025-07-23 14:24:51 Log key: (LT-000058632)","MEI"
"ADE2946B-6D0D-47B7-99A7-07C88AD638CC","11","BV-11","2025-07-23 14:28:29","2025-07-23 14:28:31.460","Paul Collins","Updated on 2025-07-23 14:28:31 Log key: (LT-000058636)","UBA 10"
"B3330A3F-1D2B-473E-AA46-B6DE3BFBE90F","5","BV-05","2025-06-25 15:27:31","2025-06-25 15:27:34.463","Paul Collins","Updated on 2025-06-25 15:27:34 Log key: (LT-000006101)","UBA"
"E482961A-B9B9-4206-9D81-90B2FDAAE968","6","BV-06","2025-06-25 15:27:36","2025-06-25 15:27:40.160","Paul Collins","Updated on 2025-06-25 15:27:40 Log key: (LT-000006103)","UBA Smart Box"
"D599C871-E72C-406C-925D-1A2148DE2D7D","10","BV-10","2025-07-23 14:27:43","2025-07-23 14:27:45.867","Paul Collins","Updated on 2025-07-23 14:27:45 Log key: (LT-000058634)","MEI Advanced Easitrax"