"uuid","index_key","reference_key","insert_date","update_date","update_by","change_log","vendor_name"
"171F058E-1990-4086-8307-6B6A1D8AA6FE","1","VT-001","2025-06-18 14:36:48.957","2025-06-18 14:36:48.980","Paul Collins","Updated on 2025-06-18 14:36:48 Log key: (LT-000000063)","Ainsworth"
"DE9FB554-4322-4D0F-9C84-628E41AD5F58","2","VT-002","2025-06-18 14:36:48.957","2025-06-18 14:36:48.980","Paul Collins","Updated on 2025-06-18 14:36:48 Log key: (LT-000000062)","IGT"
"6DE53B23-EC01-4FC4-834F-32AFE1D09146","3","VT-003","2025-06-18 14:36:48.957","2025-06-18 14:36:48.980","Paul Collins","Updated on 2025-06-18 14:36:48 Log key: (LT-000000061)","AGS"
"7386A890-57F4-4A3A-8DCD-8D7994A6203B","4","VT-004","2025-06-18 14:36:48.957","2025-06-18 14:36:48.980","Paul Collins","Updated on 2025-06-18 14:36:48 Log key: (LT-000000060)","Incredible Technologies"
"0444BC29-82B3-4B13-91FE-049211B9AE87","5","VT-005","2025-06-18 14:36:48.957","2025-06-18 14:36:48.980","Paul Collins","Updated on 2025-06-18 14:36:48 Log key: (LT-000000059)","Aruze"
"C99688B1-692D-481E-8E3C-470108F1C0A9","6","VT-006","2025-06-18 14:36:48.957","2025-06-18 14:36:48.980","Paul Collins","Updated on 2025-06-18 14:36:48 Log key: (LT-000000058)","EGT"
"777F031A-30B9-4658-ADB7-56910C724718","7","VT-007","2025-06-18 14:36:48.957","2025-06-18 14:36:48.980","Paul Collins","Updated on 2025-06-18 14:36:48 Log key: (LT-000000057)","SG Bally"
"5B36D951-6345-49EC-BA3A-0F1EEB94F75D","8","VT-008","2025-06-18 14:36:48.957","2025-06-18 14:36:48.980","Paul Collins","Updated on 2025-06-18 14:36:48 Log key: (LT-000000056)","Lightning Gaming"
"FCE2496E-30FE-4394-8FF8-BE188C97A7B6","9","VT-009","2025-06-18 14:36:48.957","2025-06-18 14:36:48.980","Paul Collins","Updated on 2025-06-18 14:36:48 Log key: (LT-000000055)","SG WMS"
"3DF3AF52-19D0-40B8-8D9B-E02C4ACFF4D3","10","VT-010","2025-06-18 14:36:48.957","2025-06-18 14:36:48.980","Paul Collins","Updated on 2025-06-18 14:36:48 Log key: (LT-000000054)","NOVA"
"A0498C3D-29D8-4A92-83B1-BB5A740DF8DE","11","VT-011","2025-06-18 14:36:48.957","2025-06-18 14:36:48.980","Paul Collins","Updated on 2025-06-18 14:36:48 Log key: (LT-000000053)","Zitro"
"8993941C-E0F0-44F4-BD2F-A6CE47AFF4BD","12","VT-012","2025-06-18 14:36:48.957","2025-06-18 14:36:48.980","Paul Collins","Updated on 2025-06-18 14:36:48 Log key: (LT-000000052)","Konami"
"C4224114-43EC-4DA0-A04A-7DD8A99DB2E4","13","VT-013","2025-06-18 14:36:48.957","2025-06-18 14:36:48.980","Paul Collins","Updated on 2025-06-18 14:36:48 Log key: (LT-000000051)","GMW"
"26CEE7C7-2FF5-408F-8DF8-294C6423EAE0","14","VT-014","2025-06-18 14:36:48.957","2025-06-18 14:36:48.980","Paul Collins","Updated on 2025-06-18 14:36:48 Log key: (LT-000000050)","Wymac"
"90136125-DAA9-4E72-8922-45EE2E178E76","15","VT-015","2025-06-18 14:36:48.957","2025-06-18 14:36:48.980","Paul Collins","Updated on 2025-06-18 14:36:48 Log key: (LT-000000049)","Bluberi"
"FCED5E5A-A3EB-4BD7-943D-93973AF2209D","16","VT-016","2025-06-18 14:36:48.957","2025-06-18 14:36:48.980","Paul Collins","Updated on 2025-06-18 14:36:48 Log key: (LT-000000048)","Aristocrat"
"ADFF33A9-BC30-46D4-B248-41DA6170101A","17","VT-017","2025-06-18 14:36:48.957","2025-06-18 14:36:48.980","Paul Collins","Updated on 2025-06-18 14:36:48 Log key: (LT-000000047)","Alfastreet"
"39A0FA87-9E94-4D9B-BE26-E2091F848D53","18","VT-018","2025-06-18 14:36:48.957","2025-06-18 14:36:48.980","Paul Collins","Updated on 2025-06-18 14:36:48 Log key: (LT-000000046)","Empire"
"ED3D5BFD-AD14-4A84-8474-97A6411863F9","19","VT-019","2025-06-18 14:36:48.957","2025-06-18 14:36:48.980","Paul Collins","Updated on 2025-06-18 14:36:48 Log key: (LT-000000045)","Castle Hill"
"0F8DB302-F1F5-4961-ACD8-DC375C2CAD8D","20","VT-020","2025-06-18 14:36:48.957","2025-06-18 14:36:48.980","Paul Collins","Updated on 2025-06-18 14:36:48 Log key: (LT-000000044)","Synergy Blue"
"3B2E1A95-6847-4779-9862-17BE30E0B088","21","VT-021","2025-06-18 14:36:48.957","2025-06-18 14:36:48.980","Paul Collins","Updated on 2025-06-18 14:36:48 Log key: (LT-000000043)","Eclipse"
"F6EED6D3-3CD2-4358-9C67-83C172E4A10A","22","VT-022","2025-06-18 14:36:48.957","2025-06-18 14:36:48.980","Paul Collins","Updated on 2025-06-18 14:36:48 Log key: (LT-000000042)","Everi"
"C534F620-353D-4613-A2BE-4A162E454889","23","VT-023","2025-06-18 14:36:48.957","2025-08-29 09:07:42.770","Paul Collins","Updated on 2025-08-29 09:07:42 Log key: (LT-000080088)","Spintec"
"B5C1AA97-C4AF-4593-9130-C1BC332D763E","24","VT-024","2025-06-20 14:55:21","2025-06-23 15:20:25.013","Paul Collins","Created on 2025-06-20 14:55:29","Light & Wonder"
"C8900095-6602-4408-868A-5F84B23C6C34","32","VT-032","2025-07-14 16:36:14","2025-07-14 16:36:17.103","Paul Collins","Updated on 2025-07-14 16:36:17 Log key: (LT-000007103)","SED"
"2B13F7ED-CBC8-4EA3-AD82-2B0DDD0848A7","33","VT-033","2025-07-14 16:37:04","2025-07-14 16:37:09.627","Paul Collins","Updated on 2025-07-14 16:37:09 Log key: (LT-000007104)","Gaming Arts"
"6DD00BE0-8D65-4500-97D1-2BAC6F41851A","34","VT-034","2025-07-14 16:37:36","2025-07-14 16:37:42.087","Paul Collins","Updated on 2025-07-14 16:37:42 Log key: (LT-000007105)","KGM"
"E70BACDA-1F80-4FF9-9FC7-BE7C8DF5EE7C","35","VT-035","2025-07-14 16:38:09","2025-07-14 16:38:13.907","Paul Collins","Updated on 2025-07-14 16:38:13 Log key: (LT-000007106)","Perpetual Gaming"
"6BDC891E-9679-4DB6-B5D5-31FFC5C3413E","39","VT-039","2025-07-29 16:53:48.890","2025-07-29 16:53:48.927","Paul Collins","Updated on 2025-07-29 16:53:48 Log key: (LT-000061680)","Pervasive"
"9E8C31FA-C3D6-412E-910A-E9C5AFEFA371","36","VT-036","2025-07-14 16:38:38","2025-07-14 16:38:39.573","Paul Collins","Updated on 2025-07-14 16:38:39 Log key: (LT-000007107)","Merkur"
"F9B2D605-AEF6-4A38-8E72-2073637D5CDD","37","VT-037","2025-07-14 16:38:45","2025-07-14 16:38:47.970","Paul Collins","Updated on 2025-07-14 16:38:47 Log key: (LT-000007108)","LT"